scenario,accuracy,macro_precision,macro_recall,macro_f1,training_seconds,prediction_seconds,scenario_label
s1_none,0.843600279222,0.320398313466,0.337571045077,0.314167694751,104.9754967,10.8316263999,S1 - No handling
s2_class_weight,0.728499780865,0.410581894829,0.562000379422,0.424949084928,104.9127736,10.5770993,S2 - Class weight
s3_upsampling,0.727818546944,0.410290513519,0.55798988273,0.423284419586,532.1799071,12.2099385001,S3 - Upsampling
s4_downsampling,0.615503725294,0.305047333168,0.49002440495,0.292287359119,1.63650790001,13.9641278,S4 - Downsampling
