representation,scenario,accuracy,macro_precision,macro_recall,macro_f1,training_seconds
latent_16,s1_none,0.843600279222,0.320398313466,0.337571045077,0.314167694751,104.9754967
latent_16,s2_class_weight,0.728499780865,0.410581894829,0.562000379422,0.424949084928,104.9127736
original_69,s1_none,0.853089895778,0.354981389029,0.340097240078,0.337256399861,243.9784885
original_69,s2_class_weight,0.788144660817,0.52981340679,0.648301218806,0.540644022696,208.435078
